Pref,Young18,Young19,OldN,OldV,YoungN,YoungV,OthersN,OthersV,Others
北海道,46.73,40.03,4613374,2619549,96070,41677,4517304,2577872,57.0666043285995
青森県,42.92,34.66,1140629,630882,25626,9985,1115003,620897,55.6856797694715
岩手県,47.97,37.74,1092042,630961,23919,10293,1068123,620668,58.1082890266383
宮城県,49.99,41.39,1947737,1020380,44323,20232,1903414,1000148,52.5449534362992
秋田県,48.09,35.89,897614,546353,17513,7406,880101,538947,61.2369489410874
山形県,52.06,39.56,952172,592418,20896,9594,931276,582824,62.5833802224045
福島県,46.78,35.8,1637954,935612,37588,15557,1600366,920055,57.490286596941
茨城県,47.73,37.93,2457957,1248026,57298,24552,2400659,1223474,50.9640894437736
栃木県,47.5,37.24,1653308,849497,37251,15776,1616057,833721,51.5898263489469
群馬県,48.12,36.99,1650035,833437,39629,16808,1610406,816629,50.7095105209494
埼玉県,55.31,46.31,6069018,3152336,138974,70499,5930044,3081837,51.9698842032201
千葉県,53.92,46.01,5201477,2705717,116070,57906,5085407,2647811,52.066845387203
東京都,62.23,53.8,11157991,6415554,212214,122750,10945777,6292804,57.4907016651262
神奈川県,58.44,51.09,7577073,4202475,167948,91875,7409125,4110600,55.4802355203887
新潟県,47.93,36.98,1959714,1171287,44344,18857,1915370,1152430,60.16748722179
富山県,47.32,35.13,904805,503153,20011,8255,884794,494898,55.9336975612403
石川県,50.32,39.07,960487,546304,22890,10208,937597,536096,57.1776573517194
福井県,48.1,36.24,657443,371429,15860,6692,641583,364737,56.849542459822
山梨県,54.16,41.51,705769,415188,17463,8344,688306,406844,59.1080130058433
長野県,51.92,38.47,1770348,1112858,41111,18633,1729237,1094225,63.2779081178578
岐阜県,52.9,45.05,1699228,981218,40609,19903,1658619,961315,57.9587596669277
静岡県,48.7,37.15,3111085,1734621,69717,29956,3041368,1704665,56.0492844009669
愛知県,58.2,49.4,6074520,3366173,147357,79229,5927163,3286944,55.4556032962144
三重県,54.8,45.37,1518247,907077,35657,17873,1482590,889204,59.976392664189
滋賀県,54.15,47.01,1149277,649532,28948,14639,1120329,634893,56.6702281204896
京都府,51.12,42.78,2132372,1090830,48713,22827,2083659,1068003,51.2561316415018
大阪府,50.37,43.26,7292841,3809288,170097,79601,7122744,3729687,52.3630640101624
兵庫県,49.32,40.13,4631741,2488871,109829,49139,4521912,2439732,53.9535488527862
奈良県,55.51,47.67,1163136,661743,27813,14359,1135323,647384,57.0220104763138
和歌山県,45.96,37.59,838098,463357,19398,8111,818700,455246,55.6059606693538
鳥取県,45.74,33.26,483895,272355,11009,4351,472886,268004,56.6741244189932
島根県,44.98,32.84,586162,364577,12896,5022,573266,359555,62.7204474013809
岡山県,45.34,33.74,1599520,813484,38018,15029,1561502,798455,51.133780168069
広島県,42.6,31.91,2363368,1171849,54566,20315,2308802,1151534,49.8758230458913
山口県,43.41,31.79,1191751,635822,26033,9823,1165718,625999,53.7007235025967
徳島県,41.2,30.7,651552,306089,14054,5061,637498,301028,47.2202265732598
香川県,41.99,30.98,834059,417392,18782,6860,815277,410532,50.3549100489772
愛媛県,41.43,29.9,1188362,669772,26633,9530,1161729,660242,56.8327036684115
高知県,35.29,26.58,628348,286003,13278,4107,615070,281896,45.8315313704131
福岡県,49.35,40.25,4224093,2232596,97928,43814,4126165,2188782,53.0464002287839
佐賀県,49.61,40.02,693811,393345,17396,7829,676415,385516,56.9940051595544
長崎県,44.16,34.02,1167985,652745,27090,10653,1140895,642092,56.2796751673029
熊本県,45.19,33.87,1500518,772157,34419,13663,1466099,758494,51.7355239994025
大分県,47.75,37.17,989619,577747,21981,9359,967638,568388,58.7397353142394
宮崎県,38.54,28.07,936443,465962,22008,7397,914435,458565,50.1473587515788
鹿児島県,43.06,34.33,1395089,779229,31295,12186,1363794,767043,56.2433182724077
沖縄県,46.07,38.99,1150806,626755,32850,13986,1117956,612769,54.8115489339473
